pays,Accès électricité (%),Accès Internet (%),PIB par habitant (USD),Accès eau potable (%),Mortalité accidents route (pour 100k),Revenu moyen/habitant ($/jour),Espérance de vie (années),Arrivées touristes internationaux,date_maj
SMR,100.0,87.0278,59879.7173015651,99.9999988818718,0.0,,85.706,1904000.0,2026-03-23
SRB,100.0,85.3575,12281.707946167,95.4072534956029,7.5,21.97,76.2209756097561,446000.0,2026-03-23
STP,81.3,61.4607,2990.6606143535,77.7627440176423,27.9,,69.718,33400.0015258789,2026-03-23
SUR,99.6,78.3958,5521.97602122638,97.9952348294942,15.3,,73.631,279000.0,2026-03-23
SVK,100.0,87.2131,24614.8734642794,99.7866473599926,6.1,25.45,78.0170731707317,15299000.0,2026-03-23
SVN,100.0,90.3779,32660.4753581346,99.5745942010052,5.1,54.71,81.9780487804878,1216000.0,2026-03-23
SWE,100.0,95.7033,54950.2834725622,99.7602354276088,3.1,62.83,83.309756097561,1957000.0,2026-03-23
SWZ,86.4,57.62,3755.52111232464,79.1563791861863,33.5,6.45,64.123,345299.987792969,2026-03-23
SYC,100.0,87.4009,18262.7115849287,97.5539573025066,11.3,23.97,74.9585365853659,124500.0,2026-03-23
TCA,100.0,,35470.2151608295,98.8184607523226,,,78.008,370399.993896484,2026-03-23
TGO,59.2,37.0223,1055.01727877926,63.7824051013865,28.7,5.06,62.739,482000.0,2026-03-23
THA,100.0,89.5353,7195.10130919449,100.0,32.2,20.38,76.412,39916000.0,2026-03-23
TJK,100.0,56.791,1178.47990060249,89.1684391081177,15.7,6.96,71.79,1035000.0,2026-03-23
TKM,100.0,21.251,6231.91323839698,99.9281577562761,13.5,,70.073,,2026-03-23
TON,100.0,58.5334,5651.59373063157,98.8577319664238,33.0,9.33,72.895,94000.0,2026-03-23
TTO,98.7,84.6994,18308.4536298575,99.1203415064723,9.3,,73.49,141000.0,2026-03-23
TUN,100.0,72.3542,3951.11683376921,96.3377994591756,16.5,15.89,76.508,2012000.0,2026-03-23
TUR,100.0,85.9607,13375.0947282864,95.9784417716969,6.7,28.94,77.156,15971000.0,2026-03-23
TZA,48.3,29.0638,1224.00219726563,63.0660884066509,31.1,4.18,66.995,1527000.0,2026-03-23
UGA,51.5,15.2524,1002.30913917142,61.3115234168033,29.4,3.65,68.252,473000.0,2026-03-23
UKR,100.0,82.3755,5139.59814453125,93.517329658926,10.2,15.57,73.422,3382000.0,2026-03-23
URY,100.0,89.896,23019.4221560046,99.6172068539544,14.8,35.06,78.138,3480000.0,2026-03-23
USA,100.0,93.1444,81032.262117545,99.9804979047021,12.7,92.95,78.3853658536585,45037000.0,2026-03-23
UZB,100.0,89.0136,2878.96879292451,96.9565254047898,11.7,,72.388,6749000.0,2026-03-23
VEN,100.0,61.6,3617.43594578269,93.3316109894304,39.0,,72.514,429000.0,2026-03-23
VIR,100.0,64.3775,44320.909185774,99.4656802967685,,,80.519512195122,8612000.0,2026-03-23
VNM,99.8,78.08,4323.35031982451,98.160662651459,30.6,16.59,74.588,3837000.0,2026-03-23
VUT,61.6,45.7313,3482.61458237637,87.0544851579831,14.9,,71.477,82400.0015258789,2026-03-23
WSM,100.0,58.1386,4822.74084650019,98.9302348547362,13.0,,71.698,23899.9996185303,2026-03-23
XKX,,89.443,6221.20618847799,,,12.35,78.033,,2026-03-23
ZAF,87.7,75.6592,6034.27208964673,90.4386965804708,22.2,12.22,66.139,3886600.09765625,2026-03-23
ZMB,51.1,33.0,1330.72780576709,72.3590047817849,20.5,2.86,66.349,502000.0,2026-03-23
ZWE,62.0,38.4266,2195.22492079245,67.1849190325683,41.2,4.5,62.775,639000.0,2026-03-23
