code_3L,libele,valeur,code_indicateur
MOZ,Accès électricité (% pop),36.0,EG.ELC.ACCS.ZS
MOZ,Accès électricité (% pop),36.0,EG.ELC.ACCS.ZS
MWI,Accès électricité (% pop),15.6,EG.ELC.ACCS.ZS
NIC,Accès électricité (% pop),88.3,EG.ELC.ACCS.ZS
OMN,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
OMN,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
PAK,Accès électricité (% pop),95.6,EG.ELC.ACCS.ZS
PAK,Accès électricité (% pop),95.6,EG.ELC.ACCS.ZS
PAN,Accès électricité (% pop),97.0,EG.ELC.ACCS.ZS
PAN,Accès électricité (% pop),97.0,EG.ELC.ACCS.ZS
PHL,Accès électricité (% pop),98.0,EG.ELC.ACCS.ZS
PHL,Accès électricité (% pop),98.0,EG.ELC.ACCS.ZS
PHL,Accès électricité (% pop),98.0,EG.ELC.ACCS.ZS
PHL,Accès électricité (% pop),98.0,EG.ELC.ACCS.ZS
PLW,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
PRT,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
PRT,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
PRT,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
PRT,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
PRT,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
PRT,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
PRT,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
PRT,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
PRT,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
PRT,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
PRT,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
PRY,Accès électricité (% pop),99.8,EG.ELC.ACCS.ZS
RWA,Accès électricité (% pop),63.9,EG.ELC.ACCS.ZS
SUR,Accès électricité (% pop),99.6,EG.ELC.ACCS.ZS
SYC,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
SYC,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
TGO,Accès électricité (% pop),59.2,EG.ELC.ACCS.ZS
TON,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
UKR,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
UKR,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
UKR,Accès électricité (% pop),100.0,EG.ELC.ACCS.ZS
