City,country,code_3L,month,temp_avg,temp_max,temp_min
Espiritu Santo,vanuatu,VUT,12,27.3,31.0,23.3
Espiritu Santo,vanuatu,VUT,2,27.4,31.0,23.6
Espiritu Santo,vanuatu,VUT,3,27.0,30.4,23.4
Espiritu Santo,vanuatu,VUT,4,27.1,30.4,23.5
Espiritu Santo,vanuatu,VUT,5,26.2,29.0,22.8
Espiritu Santo,vanuatu,VUT,6,25.6,28.4,22.7
Espiritu Santo,vanuatu,VUT,7,25.2,28.1,22.3
Espiritu Santo,vanuatu,VUT,8,24.9,27.8,22.2
Espiritu Santo,vanuatu,VUT,9,25.4,28.5,22.5
Funchal,portugal,PRT,1,17.4,19.2,15.4
Funchal,portugal,PRT,10,22.3,24.7,20.0
Funchal,portugal,PRT,11,20.0,21.7,17.8
Funchal,portugal,PRT,12,18.7,20.3,16.6
Funchal,portugal,PRT,2,17.2,19.4,15.0
Funchal,portugal,PRT,3,17.4,21.0,15.0
Funchal,portugal,PRT,4,18.2,21.2,15.9
Funchal,portugal,PRT,5,19.5,22.6,17.4
Funchal,portugal,PRT,6,21.0,23.6,18.7
Funchal,portugal,PRT,7,22.6,25.5,20.3
Funchal,portugal,PRT,8,23.9,27.0,21.4
Funchal,portugal,PRT,9,23.3,26.0,21.1
Galle,sri lanka,LKA,1,27.4,31.4,24.2
Galle,sri lanka,LKA,10,27.8,31.0,25.3
Galle,sri lanka,LKA,11,27.5,31.2,24.6
Galle,sri lanka,LKA,12,27.5,31.2,24.5
Galle,sri lanka,LKA,2,28.2,32.0,24.9
Galle,sri lanka,LKA,3,28.8,32.5,25.3
Galle,sri lanka,LKA,4,29.2,33.0,25.8
Galle,sri lanka,LKA,5,29.3,32.1,26.8
Galle,sri lanka,LKA,6,29.1,31.7,26.8
Galle,sri lanka,LKA,7,28.8,31.3,26.6
Galle,sri lanka,LKA,8,28.6,31.1,26.5
Galle,sri lanka,LKA,9,28.3,31.1,25.9
Georgetown,guyana,GUY,1,27.1,29.6,24.0
Georgetown,guyana,GUY,10,29.1,32.0,25.3
Georgetown,guyana,GUY,11,28.2,31.1,24.7
Georgetown,guyana,GUY,12,27.4,29.8,24.1
Georgetown,guyana,GUY,2,27.2,29.4,24.4
Georgetown,guyana,GUY,3,27.6,30.2,24.6
Georgetown,guyana,GUY,4,28.0,30.6,24.9
Georgetown,guyana,GUY,5,27.6,30.0,24.9
